,Total_Crimes
2001-1,34669.0
2001-2,30803.0
2001-3,37045.0
2001-4,36948.0
2001-5,38620.0
2001-6,38598.0
2001-7,41237.0
2001-8,40685.0
2001-9,38501.0
2001-10,40091.0
2001-11,36731.0
2001-12,34184.0
2002-1,33284.0
2002-2,29171.0
2002-3,33327.0
2002-4,34863.0
2002-5,38661.0
2002-6,38654.0
2002-7,41774.0
2002-8,40159.0
2002-9,38590.0
2002-10,38459.0
2002-11,32796.0
2002-12,34051.0
2003-1,32688.0
2003-2,29496.0
2003-3,35210.0
2003-4,36419.0
2003-5,38027.0
2003-6,37086.0
2003-7,39937.0
2003-8,40396.0
2003-9,38337.0
2003-10,39843.0
2003-11,35188.0
2003-12,32951.0
2004-1,31588.0
2004-2,30928.0
2004-3,36400.0
2004-4,35056.0
2004-5,37665.0
2004-6,38086.0
2004-7,40345.0
2004-8,39897.0
2004-9,38352.0
2004-10,38443.0
2004-11,33943.0
2004-12,31469.0
2005-1,30368.0
2005-2,29013.0
2005-3,33594.0
2005-4,35544.0
2005-5,37368.0
2005-6,36984.0
2005-7,38556.0
2005-8,38243.0
2005-9,36692.0
2005-10,37032.0
2005-11,33195.0
2005-12,29733.0
2006-1,33480.0
2006-2,28322.0
2006-3,34006.0
2006-4,33708.0
2006-5,36721.0
2006-6,35948.0
2006-7,38466.0
2006-8,37572.0
2006-9,35044.0
2006-10,35688.0
2006-11,32818.0
2006-12,31377.0
2007-1,31084.0
2007-2,24757.0
2007-3,33470.0
2007-4,32839.0
2007-5,37268.0
2007-6,36232.0
2007-7,38131.0
2007-8,36952.0
2007-9,35482.0
2007-10,36697.0
2007-11,31929.0
2007-12,29163.0
2008-1,30058.0
2008-2,25753.0
2008-3,30962.0
2008-4,32332.0
2008-5,34804.0
2008-6,34539.0
2008-7,37010.0
2008-8,37101.0
2008-9,34476.0
2008-10,34750.0
2008-11,30496.0
2008-12,26676.0
2009-1,27069.0
2009-2,25317.0
2009-3,30332.0
2009-4,29524.0
2009-5,32239.0
2009-6,31367.0
2009-7,32631.0
2009-8,32691.0
2009-9,31032.0
2009-10,29854.0
2009-11,28667.0
2009-12,25651.0
2010-1,26766.0
2010-2,22895.0
2010-3,29903.0
2010-4,29363.0
2010-5,30974.0
2010-6,30347.0
2010-7,31185.0
2010-8,31917.0
2010-9,29837.0
2010-10,30146.0
2010-11,26924.0
2010-12,23365.0
2011-1,24956.0
2011-2,20390.0
2011-3,26454.0
2011-4,26824.0
2011-5,29517.0
2011-6,30132.0
2011-7,31157.0
2011-8,30404.0
2011-9,28046.0
2011-10,28264.0
2011-11,25694.0
2011-12,25277.0
2012-1,24297.0
2012-2,21997.0
2012-3,26709.0
2012-4,25371.0
2012-5,28157.0
2012-6,29182.0
2012-7,30020.0
2012-8,28172.0
2012-9,26085.0
2012-10,26141.0
2012-11,24388.0
2012-12,23573.0
2013-1,23455.0
2013-2,19660.0
2013-3,22971.0
2013-4,23642.0
2013-5,26071.0
2013-6,25475.0
2013-7,26630.0
2013-8,26689.0
2013-9,24642.0
2013-10,23765.0
2013-11,21856.0
2013-12,20277.0
2014-1,18113.0
2014-2,16583.0
2014-3,20470.0
2014-4,21042.0
2014-5,22921.0
2014-6,23535.0
2014-7,24654.0
2014-8,23899.0
2014-9,22110.0
2014-10,22269.0
2014-11,19075.0
2014-12,19331.0
2015-1,18734.0
2015-2,14731.0
2015-3,19673.0
2015-4,19570.0
2015-5,21353.0
2015-6,21000.0
2015-7,21925.0
2015-8,22391.0
2015-9,20864.0
2015-10,20649.0
2015-11,18384.0
2015-12,18636.0
2016-1,18900.0
2016-2,17087.0
2016-3,20062.0
2016-4,19299.0
2016-5,21561.0
2016-6,22071.0
2016-7,22841.0
2016-8,22931.0
2016-9,21877.0
2016-10,21795.0
2016-11,20054.0
2016-12,18577.0
2017-1,19951.0
2017-2,17539.0
2017-3,18628.0
2017-4,19686.0
2017-5,21295.0
2017-6,21934.0
2017-7,22767.0
2017-8,22702.0
2017-9,21026.0
2017-10,20889.0
2017-11,19449.0
2017-12,18935.0
2018-1,18670.0
2018-2,15705.0
2018-3,19279.0
2018-4,19182.0
2018-5,22611.0
2018-6,22076.0
2018-7,22988.0
2018-8,23091.0
2018-9,20946.0
2018-10,20632.0
2018-11,18434.0
2018-12,19490.0
2019-1,17882.0
2019-2,16614.0
2019-3,18597.0
2019-4,19196.0
2019-5,21693.0
2019-6,21725.0
2019-7,22919.0
2019-8,22614.0
2019-9,20649.0
2019-10,19891.0
2019-11,18331.0
2019-12,19103.0
2020-1,17999.0
2020-2,16531.0
2020-3,15186.0
2020-4,11806.0
2020-5,16282.0
2020-6,16184.0
2020-7,17936.0
2020-8,18253.0
2020-9,16291.0
2020-10,16744.0
2020-11,15015.0
2020-12,14623.0
