index,name
0,DOUGLAS
1,OAKLAND
2,FULLER PARK
3,GRAND BOULEVARD
4,KENWOOD
5,LINCOLN SQUARE
6,WASHINGTON PARK
7,HYDE PARK
8,WOODLAWN
9,ROGERS PARK
10,JEFFERSON PARK
11,FOREST GLEN
12,NORTH PARK
13,ALBANY PARK
14,PORTAGE PARK
15,IRVING PARK
16,DUNNING
17,MONTCLARE
18,BELMONT CRAGIN
19,WEST RIDGE
20,HERMOSA
21,AVONDALE
22,LOGAN SQUARE
23,HUMBOLDT PARK
24,WEST TOWN
25,AUSTIN
26,WEST GARFIELD PARK
27,EAST GARFIELD PARK
28,NEAR WEST SIDE
29,NORTH LAWNDALE
30,UPTOWN
31,SOUTH LAWNDALE
32,LOWER WEST SIDE
33,NEAR SOUTH SIDE
34,ARMOUR SQUARE
35,NORWOOD PARK
36,NEAR NORTH SIDE
37,LOOP
38,SOUTH SHORE
39,CHATHAM
40,AVALON PARK
41,SOUTH CHICAGO
42,BURNSIDE
43,MCKINLEY PARK
44,LAKE VIEW
45,CALUMET HEIGHTS
46,ROSELAND
47,NORTH CENTER
48,PULLMAN
49,SOUTH DEERING
50,EAST SIDE
51,WEST PULLMAN
52,RIVERDALE
53,HEGEWISCH
54,GARFIELD RIDGE
55,ARCHER HEIGHTS
56,BRIGHTON PARK
57,BRIDGEPORT
58,NEW CITY
59,WEST ELSDON
60,GAGE PARK
61,CLEARING
62,WEST LAWN
63,CHICAGO LAWN
64,WEST ENGLEWOOD
65,ENGLEWOOD
66,GREATER GRAND CROSSING
67,LINCOLN PARK
68,ASHBURN
69,AUBURN GRESHAM
70,BEVERLY
71,WASHINGTON HEIGHTS
72,MOUNT GREENWOOD
73,MORGAN PARK
74,OHARE
75,EDGEWATER
76,EDISON PARK
