Community1,Community2
Greenpoint,East Williamsburg
Greenpoint,Murray Hill-Kips Bay
Williamsburg,East Village
South Williamsburg,East Williamsburg
South Williamsburg,Fort Greene
South Williamsburg,Clinton Hill
South Williamsburg,Brooklyn Navy Yard
South Williamsburg,Bedford-Stuyvesant (West)
South Williamsburg,Bedford-Stuyvesant (East)
South Williamsburg,Bushwick (West)
East Williamsburg,Bedford-Stuyvesant (East)
East Williamsburg,Bushwick (West)
East Williamsburg,Maspeth
East Williamsburg,Ridgewood
Brooklyn Heights,Carroll Gardens-Cobble Hill-Gowanus-Red Hook
Brooklyn Heights,Financial District-Battery Park City
Brooklyn Heights,The Battery-Governors Island-Ellis Island-Liberty Island
Fort Greene,Clinton Hill
Fort Greene,Brooklyn Navy Yard
Fort Greene,Park Slope
Fort Greene,Prospect Heights
Clinton Hill,Brooklyn Navy Yard
Clinton Hill,Bedford-Stuyvesant (West)
Clinton Hill,Prospect Heights
Clinton Hill,Crown Heights (North)
Bedford-Stuyvesant (West),Bedford-Stuyvesant (East)
Bedford-Stuyvesant (West),Prospect Heights
Bedford-Stuyvesant (West),Crown Heights (North)
Bedford-Stuyvesant (East),Bushwick (West)
Bedford-Stuyvesant (East),Bushwick (East)
Bedford-Stuyvesant (East),Crown Heights (North)
Bedford-Stuyvesant (East),Ocean Hill
Bushwick (West),Bushwick (East)
Bushwick (West),Ridgewood
Bushwick (East),The Evergreens Cemetery
Bushwick (East),Cypress Hills
Bushwick (East),Ocean Hill
Bushwick (East),Ridgewood
Bushwick (East),Highland Park-Cypress Hills Cemeteries (North)
The Evergreens Cemetery,Cypress Hills
The Evergreens Cemetery,Highland Park-Cypress Hills Cemeteries (North)
Cypress Hills,East New York (North)
Cypress Hills,East New York-City Line
Cypress Hills,Highland Park-Cypress Hills Cemeteries (South)
Cypress Hills,Ocean Hill
Cypress Hills,Highland Park-Cypress Hills Cemeteries (North)
Cypress Hills,Ozone Park (North)
Cypress Hills,Woodhaven
East New York (North),East New York-New Lots
East New York (North),East New York-City Line
East New York (North),Ocean Hill
East New York (North),Brownsville
East New York-New Lots,Spring Creek-Starrett City
East New York-New Lots,East New York-City Line
East New York-New Lots,Brownsville
East New York-New Lots,East Flatbush-Remsen Village
East New York-New Lots,Canarsie
Spring Creek-Starrett City,East New York-City Line
Spring Creek-Starrett City,Canarsie
Spring Creek-Starrett City,Shirley Chisholm State Park
Spring Creek-Starrett City,Howard Beach-Lindenwood
Spring Creek-Starrett City,Spring Creek Park
East New York-City Line,Ozone Park (North)
East New York-City Line,Woodhaven
East New York-City Line,Ozone Park
East New York-City Line,Howard Beach-Lindenwood
Highland Park-Cypress Hills Cemeteries (South),Highland Park-Cypress Hills Cemeteries (North)
Highland Park-Cypress Hills Cemeteries (South),Woodhaven
Highland Park-Cypress Hills Cemeteries (South),Forest Park
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Park Slope
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Windsor Terrace-South Slope
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Sunset Park (West)
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,The Battery-Governors Island-Ellis Island-Liberty Island
Park Slope,Windsor Terrace-South Slope
Park Slope,Prospect Heights
Park Slope,Prospect Park
Windsor Terrace-South Slope,Sunset Park (West)
Windsor Terrace-South Slope,Green-Wood Cemetery
Windsor Terrace-South Slope,Kensington
Windsor Terrace-South Slope,Flatbush (West)-Ditmas Park-Parkville
Windsor Terrace-South Slope,Prospect Park
Sunset Park (West),Sunset Park (Central)
Sunset Park (West),Green-Wood Cemetery
Sunset Park (West),Bay Ridge
Sunset Park (Central),Green-Wood Cemetery
Sunset Park (Central),Bay Ridge
Sunset Park (Central),Dyker Heights
Sunset Park (Central),Sunset Park (East)-Borough Park (West)
Sunset Park (Central),Borough Park
Green-Wood Cemetery,Sunset Park (East)-Borough Park (West)
Green-Wood Cemetery,Borough Park
Green-Wood Cemetery,Kensington
Prospect Heights,Crown Heights (North)
Prospect Heights,Crown Heights (South)
Prospect Heights,Prospect Park
Crown Heights (North),Lincoln Terrace Park
Crown Heights (North),Crown Heights (South)
Crown Heights (North),Ocean Hill
Crown Heights (North),Brownsville
Lincoln Terrace Park,Crown Heights (South)
Lincoln Terrace Park,Brownsville
Lincoln Terrace Park,East Flatbush-Remsen Village
Crown Heights (South),Prospect Lefferts Gardens-Wingate
Crown Heights (South),East Flatbush-Rugby
Crown Heights (South),East Flatbush-Remsen Village
Crown Heights (South),Prospect Park
Prospect Lefferts Gardens-Wingate,Flatbush
Prospect Lefferts Gardens-Wingate,East Flatbush-Erasmus
Prospect Lefferts Gardens-Wingate,East Flatbush-Rugby
Prospect Lefferts Gardens-Wingate,Prospect Park
Bay Ridge,Dyker Heights
Bay Ridge,Fort Hamilton
Bay Ridge,Dyker Beach Park
Dyker Heights,Dyker Beach Park
Dyker Heights,Bensonhurst
Dyker Heights,Bath Beach
Dyker Heights,Borough Park
Fort Hamilton,Dyker Beach Park
Fort Hamilton,Bath Beach
Dyker Beach Park,Bath Beach
Bensonhurst,Bath Beach
Bensonhurst,Gravesend (West)
Bensonhurst,Borough Park
Bensonhurst,Mapleton-Midwood (West)
Bath Beach,Gravesend (West)
Gravesend (West),Mapleton-Midwood (West)
Gravesend (West),Gravesend (South)
Gravesend (West),Gravesend (East)-Homecrest
Sunset Park (East)-Borough Park (West),Borough Park
Borough Park,Kensington
Borough Park,Mapleton-Midwood (West)
Borough Park,Flatbush (West)-Ditmas Park-Parkville
Kensington,Flatbush (West)-Ditmas Park-Parkville
Kensington,Prospect Park
Mapleton-Midwood (West),Flatbush (West)-Ditmas Park-Parkville
Mapleton-Midwood (West),Midwood
Mapleton-Midwood (West),Gravesend (East)-Homecrest
Gravesend (South),Coney Island-Sea Gate
Gravesend (South),Brighton Beach
Gravesend (South),Calvert Vaux Park
Gravesend (South),Gravesend (East)-Homecrest
