,Total_Crimes
2006-1,3639.0
2006-2,3462.0
2006-3,3930.0
2006-4,2868.0
2006-5,3023.0
2006-6,2768.0
2006-7,2502.0
2006-8,2645.0
2006-9,2816.0
2006-10,3448.0
2006-11,3171.0
2006-12,3243.0
2007-1,4352.0
2007-2,3886.0
2007-3,4128.0
2007-4,3533.0
2007-5,3334.0
2007-6,2931.0
2007-7,2653.0
2007-8,3252.0
2007-9,2945.0
2007-10,3388.0
2007-11,3317.0
2007-12,3300.0
2008-1,4436.0
2008-2,3985.0
2008-3,4054.0
2008-4,3670.0
2008-5,3723.0
2008-6,3080.0
2008-7,2869.0
2008-8,2844.0
2008-9,3284.0
2008-10,3557.0
2008-11,3437.0
2008-12,3208.0
2009-1,4413.0
2009-2,3807.0
2009-3,4081.0
2009-4,3295.0
2009-5,3157.0
2009-6,2993.0
2009-7,2745.0
2009-8,2831.0
2009-9,2924.0
2009-10,3683.0
2009-11,3311.0
2009-12,3334.0
2010-1,4461.0
2010-2,3632.0
2010-3,3707.0
2010-4,3449.0
2010-5,3409.0
2010-6,2911.0
2010-7,2731.0
2010-8,2689.0
2010-9,2670.0
2010-10,3482.0
2010-11,3097.0
2010-12,2983.0
2011-1,3709.0
2011-2,3466.0
2011-3,3659.0
2011-4,3389.0
2011-5,3249.0
2011-6,2950.0
2011-7,2644.0
2011-8,2672.0
2011-9,2448.0
2011-10,2965.0
2011-11,2940.0
2011-12,2792.0
2012-1,3362.0
2012-2,3221.0
2012-3,3101.0
2012-4,2801.0
2012-5,2900.0
2012-6,2430.0
2012-7,2306.0
2012-8,2657.0
2012-9,2256.0
2012-10,2502.0
2012-11,2003.0
2012-12,2205.0
2013-1,2603.0
2013-2,2621.0
2013-3,2588.0
2013-4,2515.0
2013-5,2631.0
2013-6,2307.0
2013-7,2332.0
2013-8,2506.0
2013-9,2190.0
2013-10,2500.0
2013-11,2301.0
2013-12,2203.0
2014-1,2742.0
2014-2,2354.0
2014-3,2909.0
2014-4,2491.0
2014-5,2563.0
2014-6,2218.0
2014-7,2281.0
2014-8,2463.0
2014-9,2297.0
2014-10,2613.0
2014-11,2208.0
2014-12,1767.0
2015-1,2356.0
2015-2,2287.0
2015-3,2338.0
2015-4,2187.0
2015-5,2108.0
2015-6,2078.0
2015-7,2159.0
2015-8,2400.0
2015-9,2090.0
2015-10,2162.0
2015-11,2097.0
2015-12,1931.0
2016-1,2251.0
2016-2,2006.0
2016-3,2175.0
2016-4,2036.0
2016-5,2116.0
2016-6,1852.0
2016-7,1717.0
2016-8,1956.0
2016-9,1887.0
2016-10,1994.0
2016-11,1716.0
2016-12,1752.0
2017-1,2051.0
2017-2,1873.0
2017-3,1772.0
2017-4,1720.0
2017-5,1805.0
2017-6,1670.0
2017-7,1636.0
2017-8,1729.0
2017-9,1610.0
2017-10,1790.0
2017-11,1634.0
2017-12,1483.0
2018-1,1648.0
2018-2,1558.0
2018-3,1594.0
2018-4,1579.0
2018-5,1613.0
2018-6,1444.0
2018-7,1541.0
2018-8,1736.0
2018-9,1428.0
2018-10,1518.0
2018-11,1408.0
2018-12,1305.0
2019-1,1600.0
2019-2,1294.0
2019-3,1529.0
2019-4,1435.0
2019-5,1577.0
2019-6,1352.0
2019-7,1565.0
2019-8,1623.0
2019-9,1491.0
2019-10,1634.0
2019-11,1407.0
2019-12,1246.0
2020-1,1639.0
2020-2,1481.0
2020-3,1390.0
2020-4,1162.0
2020-5,1736.0
2020-6,1400.0
2020-7,954.0
2020-8,1176.0
2020-9,1236.0
2020-10,1431.0
2020-11,1038.0
2020-12,1299.0
