Community1,Community2
Western Addition,Presidio Heights
Western Addition,Pacific Heights
Western Addition,Lone Mountain/USF
Western Addition,Nob Hill
Western Addition,Tenderloin
Western Addition,Hayes Valley
West of Twin Peaks,Twin Peaks
West of Twin Peaks,Outer Mission
West of Twin Peaks,Sunset/Parkside
West of Twin Peaks,Oceanview/Merced/Ingleside
West of Twin Peaks,Lakeshore
West of Twin Peaks,Inner Sunset
West of Twin Peaks,Glen Park
Visitacion Valley,Portola
Visitacion Valley,Excelsior
Visitacion Valley,Bayview Hunters Point
Twin Peaks,Noe Valley
Twin Peaks,Inner Sunset
Twin Peaks,Glen Park
Twin Peaks,Castro/Upper Market
South of Market,Mission
South of Market,Tenderloin
South of Market,Financial District/South Beach
Presidio Heights,Pacific Heights
Presidio Heights,Lone Mountain/USF
Presidio Heights,Inner Richmond
Presidio,Seacliff
Potrero Hill,Mission
Potrero Hill,Bernal Heights
Potrero Hill,Bayview Hunters Point
Portola,Excelsior
Portola,Bernal Heights
Portola,Bayview Hunters Point
Pacific Heights,Nob Hill
Pacific Heights,Russian Hill
Pacific Heights,Marina
Outer Richmond,Inner Richmond
Outer Mission,Oceanview/Merced/Ingleside
Outer Mission,Glen Park
Outer Mission,Excelsior
Outer Mission,Bernal Heights
Sunset/Parkside,Lakeshore
Sunset/Parkside,Inner Sunset
Oceanview/Merced/Ingleside,Lakeshore
North Beach,Russian Hill
North Beach,Financial District/South Beach
North Beach,Chinatown
Noe Valley,Mission
Noe Valley,Glen Park
Noe Valley,Castro/Upper Market
Noe Valley,Bernal Heights
Lone Mountain/USF,Hayes Valley
Lone Mountain/USF,Inner Richmond
Lincoln Park,Seacliff
Nob Hill,Russian Hill
Nob Hill,Tenderloin
Nob Hill,Financial District/South Beach
Nob Hill,Chinatown
Mission Bay,Mission
Mission,Tenderloin
Mission,Hayes Valley
Mission,Castro/Upper Market
Mission,Bernal Heights
Russian Hill,Marina
Russian Hill,Chinatown
Tenderloin,Hayes Valley
Tenderloin,Financial District/South Beach
Inner Sunset,Haight Ashbury
Inner Sunset,Castro/Upper Market
Hayes Valley,Haight Ashbury
Hayes Valley,Castro/Upper Market
Haight Ashbury,Castro/Upper Market
Glen Park,Bernal Heights
Financial District/South Beach,Chinatown
Excelsior,Bernal Heights
Bernal Heights,Bayview Hunters Point
