,Total_Crimes
2006-1,11346.0
2006-2,10231.0
2006-3,11111.0
2006-4,11060.0
2006-5,10954.0
2006-6,11134.0
2006-7,11254.0
2006-8,12046.0
2006-9,10897.0
2006-10,11275.0
2006-11,10269.0
2006-12,10228.0
2007-1,11060.0
2007-2,9964.0
2007-3,11283.0
2007-4,10520.0
2007-5,10844.0
2007-6,10622.0
2007-7,11435.0
2007-8,11367.0
2007-9,11472.0
2007-10,11631.0
2007-11,11115.0
2007-12,10421.0
2008-1,11393.0
2008-2,10513.0
2008-3,11838.0
2008-4,10893.0
2008-5,11291.0
2008-6,10269.0
2008-7,11869.0
2008-8,11057.0
2008-9,11602.0
2008-10,12370.0
2008-11,11376.0
2008-12,10703.0
2009-1,11461.0
2009-2,10222.0
2009-3,12152.0
2009-4,11605.0
2009-5,10811.0
2009-6,9921.0
2009-7,11030.0
2009-8,12594.0
2009-9,11893.0
2009-10,11495.0
2009-11,10837.0
2009-12,10216.0
2010-1,10797.0
2010-2,9776.0
2010-3,10609.0
2010-4,9985.0
2010-5,11082.0
2010-6,10437.0
2010-7,10518.0
2010-8,11195.0
2010-9,11293.0
2010-10,11378.0
2010-11,10336.0
2010-12,10297.0
2011-1,11044.0
2011-2,9538.0
2011-3,10884.0
2011-4,10632.0
2011-5,10901.0
2011-6,10504.0
2011-7,10292.0
2011-8,10603.0
2011-9,10754.0
2011-10,10892.0
2011-11,10098.0
2011-12,10499.0
2012-1,11109.0
2012-2,10386.0
2012-3,10980.0
2012-4,10781.0
2012-5,11334.0
2012-6,10676.0
2012-7,11156.0
2012-8,11932.0
2012-9,11487.0
2012-10,12685.0
2012-11,11563.0
2012-12,11321.0
2013-1,12305.0
2013-2,11307.0
2013-3,12454.0
2013-4,11985.0
2013-5,12358.0
2013-6,11967.0
2013-7,12653.0
2013-8,13199.0
2013-9,13316.0
2013-10,13386.0
2013-11,11819.0
2013-12,10867.0
2014-1,12369.0
2014-2,11115.0
2014-3,12405.0
2014-4,11905.0
2014-5,11834.0
2014-6,11499.0
2014-7,12280.0
2014-8,12986.0
2014-9,12077.0
2014-10,12894.0
2014-11,11697.0
2014-12,11734.0
2015-1,13170.0
2015-2,11872.0
2015-3,13455.0
2015-4,12521.0
2015-5,13314.0
2015-6,12845.0
2015-7,12943.0
2015-8,13305.0
2015-9,12474.0
2015-10,12691.0
2015-11,11687.0
2015-12,11105.0
2016-1,12528.0
2016-2,11740.0
2016-3,11945.0
2016-4,11902.0
2016-5,12310.0
2016-6,11726.0
2016-7,11831.0
2016-8,12100.0
2016-9,12087.0
2016-10,12908.0
2016-11,12249.0
2016-12,12628.0
2017-1,12685.0
2017-2,11777.0
2017-3,13249.0
2017-4,12448.0
2017-5,12752.0
2017-6,12182.0
2017-7,12713.0
2017-8,12427.0
2017-9,12202.0
2017-10,12967.0
2017-11,11937.0
2017-12,12114.0
