area,name
0,Western Addition
1,West of Twin Peaks
2,Visitacion Valley
3,Twin Peaks
4,South of Market
5,Treasure Island
6,Presidio Heights
7,Presidio
8,Potrero Hill
9,Portola
10,Pacific Heights
11,Outer Richmond
12,Outer Mission
13,Sunset/Parkside
14,Oceanview/Merced/Ingleside
15,North Beach
16,Noe Valley
17,Lone Mountain/USF
18,Lincoln Park
19,Seacliff
20,Nob Hill
21,Mission Bay
22,Mission
23,Russian Hill
24,Marina
25,Lakeshore
26,Tenderloin
27,McLaren Park
28,Japantown
29,Inner Sunset
30,Hayes Valley
31,Haight Ashbury
32,Golden Gate Park
33,Inner Richmond
34,Glen Park
35,Financial District/South Beach
36,Excelsior
37,Chinatown
38,Castro/Upper Market
39,Bernal Heights
40,Bayview Hunters Point
