,community,Total population,female_total,white_total,Black or African American total,Asian total,Hispanic or Latino Origin total,poverty total,population below 35 years old total,unemployment total for people over 16 years old,people over 16 years old total,school enrollment total for population over 3 years old,population over 3 years old total,Family Income Last Year,longitude,latitude,female_ratio,white_ratio,Black or African American ratio,Asian ratio,Hispanic or Latino Origin ratio,poverty ratio,population below 35 years old ratio,unemploymen ratio,school enrollment ratio
0,ALBANY PARK,50343,24901,28951,2731,7263,22986,8611.0,7388,1571.0,27924.0,13395,48350,312.79411764705884,-87.71926663529412,41.96751355882353,0.49462685974216875,0.5750749855987923,0.05424785968257752,0.14427030570287824,0.4565878076395924,0.17104662018552727,0.1467532725503049,0.0562598481592895,0.27704239917269907
1,ARCHER HEIGHTS,13082,6537,6921,202,656,10129,2284.0,2148,522.0,6344.0,3982,12514,292.2,-87.72679769999999,41.80561002,0.49969423635529736,0.5290475462467512,0.015441064057483566,0.050145237731233756,0.7742699892982724,0.1745910411252102,0.16419507720532028,0.08228247162673392,0.31820361195461083
2,ARMOUR SQUARE,13719,7021,1917,1393,10003,582,4646.0,1256,700.0,6439.0,2696,13226,427.375,-87.6337887625,41.843868025,0.5117719950433705,0.13973321670675706,0.10153801297470662,0.7291347765872148,0.04242291712223923,0.33865442087615716,0.09155186238063999,0.10871253300201894,0.2038409194011795
3,ASHBURN,43986,23075,11815,21023,380,17303,4931.0,7221,2649.0,22511.0,13301,42288,364.64285714285717,-87.71176400357142,41.744870424999995,0.5245987359614422,0.26860819351611875,0.47794752875915064,0.008639112444868821,0.39337516482517165,0.11210385122538989,0.16416587095894147,0.1176758029407845,0.31453367385546727
4,AUBURN GRESHAM,45271,24873,694,43637,120,836,11807.0,6127,3769.0,20068.0,11479,44051,214.75,-87.6570688625,41.74555429166667,0.5494245764396634,0.015329902144860949,0.9639062534514369,0.002650703540898147,0.01846656800159042,0.2608071392282035,0.13534050495902455,0.18781144110025913,0.26058432271685095
5,AUSTIN,94762,51058,9371,75457,524,13617,26995.0,13755,5676.0,41841.0,24225,91109,240.20238095238096,-87.76270860714286,41.895396496428575,0.5388024735653532,0.09888985036195944,0.7962790992169857,0.0055296426837761975,0.14369684050568793,0.284871572993394,0.14515312044912518,0.13565641356564134,0.26589030721443546
6,AVALON PARK,9785,5498,106,9426,80,55,1633.0,1257,693.0,4251.0,2204,9303,211.8,-87.5862569,41.74326887,0.5618804292284109,0.01083290751149719,0.9633111905978539,0.008175779253960144,0.005620848237097598,0.16688809402146143,0.12846193152784874,0.16302046577275936,0.23691282382027304
7,AVONDALE,37909,18779,29673,928,1436,21653,6607.0,4846,1047.0,21829.0,8826,36335,298.03846153846155,-87.71264841153847,41.937572169230776,0.49537049249518583,0.7827428842755019,0.02447967501121106,0.0378801867630378,0.5711836239415442,0.17428578965417182,0.1278324408451819,0.04796371798983004,0.2429062887023531
8,BELMONT CRAGIN,80701,40762,44985,2501,1575,66152,13879.0,13593,2956.0,41376.0,23516,77528,363.5531914893617,-87.76242870851064,41.927191278723406,0.5050990694043445,0.5574280368273008,0.03099094187184793,0.019516486784550376,0.8197172277914772,0.171980520687476,0.16843657451580527,0.07144238205723125,0.3033226705190383
9,BEVERLY,20437,10720,12380,7166,190,1096,919.0,2702,464.0,10691.0,5062,19605,276.5263157894737,-87.67495756842106,41.71155877894737,0.5245388266379606,0.6057640553897343,0.3506385477320546,0.009296863531829526,0.053628223320448205,0.044967460977638596,0.13221118559475462,0.04340099148816762,0.2581994389186432
