,community,Total population,female_total,white_total,Black or African American total,Asian total,Hispanic or Latino Origin total,poverty total,population below 35 years old total,unemployment total for people over 16 years old,people over 16 years old total,school enrollment total for population over 3 years old,population over 3 years old total,Family Income Last Year,longitude,latitude,female_ratio,white_ratio,Black or African American ratio,Asian ratio,Hispanic or Latino Origin ratio,poverty ratio,population below 35 years old ratio,unemploymen ratio,school enrollment ratio
0,Allerton,37232,19284,10856,10978,1384,19586,9303,5421,1914,17632,9249,35189,277.6,-73.86564677666667,40.86434507333333,0.5179415556510528,0.29157713794585305,0.29485388912763216,0.03717232488182209,0.5260528577567684,0.24986570691877955,0.14560055865921787,0.10855263157894737,0.26283781863650574
1,Alley Pond Park,39,0,39,0,0,24,24,0,0,15,8,39,0.0,-73.7449302,40.7521109,0.0,1.0,0.0,0.0,0.6153846153846154,0.6153846153846154,0.0,0.0,0.20512820512820512
2,Annadale-Huguenot-Prince's Bay-Woodrow,41232,20349,38097,324,1731,3146,2070,4993,468,20600,9547,39850,532.0952380952381,-74.1959666952381,40.53241319047619,0.4935244470314319,0.9239668218859138,0.007857974388824214,0.04198195576251455,0.0762999611951882,0.05020372526193248,0.1210952658129608,0.022718446601941746,0.23957340025094104
3,Arden Heights-Rossville,30900,16110,28323,329,1762,4537,2097,4149,801,15277,7554,29782,651.9230769230769,-74.195824,40.552794761538465,0.5213592233009708,0.9166019417475728,0.01064724919093851,0.057022653721682845,0.1468284789644013,0.0678640776699029,0.13427184466019418,0.052431760162335535,0.25364314015176953
4,Astoria (Central),46478,24528,29505,1403,8956,10375,5325,3443,1481,31489,7352,45179,242.59459459459458,-73.92305020270271,40.76457228918919,0.5277335513576316,0.6348164723094798,0.030186324712767332,0.19269331726838504,0.22322389087310124,0.1145703343517363,0.07407805843624941,0.04703229699260059,0.1627304721220036
5,Astoria (East)-Woodside (North),35517,18005,22777,1755,5813,10114,4103,3054,1127,21576,6676,34591,257.741935483871,-73.91201120967743,40.759731596774195,0.5069403384294845,0.6412985330968268,0.04941295717543712,0.16366810259875553,0.28476504209251907,0.11552214432525269,0.08598699214460681,0.05223396366332963,0.1929981787170073
6,Astoria (North)-Ditmars-Steinway,47234,23167,36682,1431,5193,9233,4180,3883,990,28767,9013,45811,239.5581395348837,-73.9092226883721,40.77566904651163,0.490472964390058,0.7766016005419825,0.030295973239615533,0.10994199093873057,0.19547359952576535,0.08849557522123894,0.08220773171867722,0.03441443320471373,0.1967431402938159
7,Astoria Park,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-73.9230863,40.7785586,,,,,,,,,
8,Auburndale,33671,17191,14300,501,16572,4125,2731,3222,722,16925,6758,32755,264.3030303030303,-73.78670267878788,40.75661313636363,0.5105580469840516,0.42469781117281935,0.014879272964865908,0.49217427459831903,0.12250898399215943,0.08110837218971816,0.09569065367823944,0.042658788774002955,0.20631964585559456
9,Baisley Park,41413,21619,1787,29135,2967,5119,4256,4969,1639,22137,10585,40048,297.3225806451613,-73.79079187096775,40.67989218064516,0.5220341438678676,0.04315070147055273,0.7035230483181609,0.07164416970516505,0.1236085287228648,0.10276966170043224,0.11998647767609205,0.07403893933233953,0.26430783060327606
10,Barren Island-Floyd Bennett Field,8,0,8,0,0,0,0,0,0,8,0,8,4.0,-73.8914194,40.5935154,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Bath Beach,33580,16718,16101,654,12736,6223,4763,4069,856,16642,8036,32069,317.2307692307692,-74.00648935384615,40.60376876153846,0.49785586658725434,0.4794818344252531,0.019475878499106612,0.3792733770101251,0.1853186420488386,0.1418403811792734,0.12117331745086361,0.05143612546568922,0.2505846767906701
12,Bay Ridge,80127,41537,55759,2303,12693,14653,10009,8935,2165,42678,16560,76954,261.0810810810811,-74.02882001486486,40.62652282837838,0.5183895565789309,0.6958827860771026,0.028741872277759057,0.15841102250177844,0.18287219039774358,0.12491419870954859,0.11151047711757585,0.050728712685692866,0.21519349221612913
13,Bay Terrace-Clearview,21990,12395,13514,289,6785,2998,1369,2521,489,10558,3987,20991,325.6666666666667,-73.78859159444444,40.781223383333334,0.5636653024101864,0.6145520691223283,0.013142337426102773,0.3085493406093679,0.13633469758981356,0.062255570713960894,0.11464301955434289,0.04631559007387763,0.18993854509075317
14,Bayside,33904,17102,14796,1113,16438,3365,2571,3346,613,17751,7871,33188,249.25714285714287,-73.76834506,40.76053781142858,0.5044242567248702,0.4364086833411987,0.03282798489853705,0.48483954695611137,0.0992508258612553,0.0758317602642756,0.09869042000943841,0.034533265731508084,0.23716403519344342
15,Bedford Park,56239,28970,8950,11396,2193,40879,15701,9129,3005,29407,15361,53621,291.84090909090907,-73.88860597045455,40.8702805,0.5151229573783318,0.15914223225875282,0.20263518199114494,0.038994292217144684,0.7268799231849784,0.2791834847703551,0.1623250769039279,0.10218655422178392,0.28647358311109455
16,Bedford-Stuyvesant (East),86386,46655,15539,57641,3326,13759,19202,10819,3047,45405,20144,83536,251.3108108108108,-73.9317493472973,40.68698840135135,0.5400759382307319,0.17987868404602597,0.6672493228069363,0.03850160905702313,0.15927349339013266,0.22228138818790083,0.12524020095848865,0.0671071467900011,0.24114154376556216
17,Bedford-Stuyvesant (West),82014,44149,31879,36111,3073,16760,21389,11856,3378,43759,21158,77992,260.1475409836066,-73.95037678196721,40.68816608360656,0.5383105323481356,0.38870192893896166,0.44030287511888216,0.03746921257346307,0.20435535396395738,0.2607969371082986,0.14456068476113834,0.07719554834434059,0.271284234280439
18,Bellerose,27643,13930,9761,2484,11148,6112,2405,3160,636,13774,6619,26568,265.7083333333333,-73.72581831666666,40.73405195833333,0.5039250443150165,0.35310928625691856,0.08986000072351047,0.403284737546576,0.2211048004919871,0.08700213435589481,0.11431465470462684,0.04617395092202701,0.24913429689852454
19,Belmont,36263,19778,8505,8225,807,22961,13574,8263,2535,15206,13371,34149,272.74074074074076,-73.88715021851851,40.85530633333333,0.5454044066955299,0.2345365799851088,0.22681521109671016,0.022254088189063232,0.6331798251661473,0.3743209331825828,0.22786311116013566,0.16671050900960147,0.3915488008433629
20,Bensonhurst,97786,49341,42737,948,41580,16481,16412,11733,3239,49620,21555,93440,319.0394736842105,-73.99244167368421,40.61283605263158,0.5045814329249586,0.43704620293293517,0.009694639314421287,0.4252142433477185,0.16854150900946965,0.1678358865277238,0.11998650113513182,0.06527609834744055,0.2306827910958904
21,Borough Park,78757,38568,67722,757,6166,6486,28755,18315,1167,26882,29488,71343,265.2258064516129,-73.98953701935484,40.633575701612905,0.48970885127671193,0.8598854704978605,0.009611844026562719,0.07829145345810531,0.0823545843544066,0.36511040288482294,0.23255075739299363,0.04341194851573544,0.4133271659448019
22,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,23831,11897,20935,849,760,2597,2276,2710,567,11084,5309,23046,296.57894736842104,-73.85522107894737,40.575836042105266,0.49922370022239937,0.8784776131929,0.03562586546934665,0.031891234106835635,0.10897570391506861,0.0955058537199446,0.11371742688095338,0.05115481775532299,0.23036535624403368
23,Brighton Beach,30583,16189,23251,293,3258,3414,7304,3097,688,13459,5740,29488,353.90909090909093,-73.96089808181817,40.578906904545455,0.5293463688977537,0.7602589674001896,0.009580485890854397,0.10652977144165059,0.11163064447568911,0.23882549128600858,0.10126540888729033,0.051118210862619806,0.19465545306565382
24,Bronx Park,15,9,2,11,0,5,3,1,2,5,1,15,5.0,-73.8742257,40.860046,0.6,0.13333333333333333,0.7333333333333333,0.0,0.3333333333333333,0.2,0.06666666666666667,0.4,0.06666666666666667
25,Brooklyn Heights,23758,12554,18709,1406,2057,1517,1504,2637,579,14114,5398,22735,263.36842105263156,-73.99488834210527,40.69570415263158,0.5284114824480175,0.7874821112888291,0.059180065662092766,0.0865813620675141,0.06385217610910009,0.06330499200269384,0.11099419143025507,0.041023097633555335,0.2374312733670552
26,Brooklyn Navy Yard,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-73.9716023,40.7014969,,,,,,,,,
27,Brownsville,47971,28552,4593,36268,723,12180,19709,6460,3768,19704,12242,46453,198.77083333333334,-73.91100528958334,40.663939210416665,0.5951929290613078,0.09574534614663026,0.7560401075649872,0.01507160576181443,0.2539033999708157,0.4108523899856163,0.1346646932521732,0.19123020706455543,0.26353518610208165
28,Bushwick (East),59406,30330,16826,21192,2006,30952,14677,7942,1865,31994,14684,57237,243.30612244897958,-73.91334227959183,40.69150187755102,0.5105544894455105,0.28323738342928323,0.3567316432683567,0.03376763289903377,0.521024812308521,0.24706258627074706,0.1336901996431337,0.058292179783709444,0.2565473382602163
29,Bushwick (West),53557,26325,22839,5548,3951,32010,13670,5969,1711,31728,12248,51912,228.1904761904762,-73.92451286190476,40.70096577857143,0.49153238605597777,0.4264428552756876,0.10359056705939466,0.07377186922344418,0.5976809754093769,0.2552420785331516,0.11145135089717498,0.053927130610186585,0.23593774079210972
30,Calvary & Mount Zion Cemeteries,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-73.9113356,40.7342754,,,,,,,,,
31,Calvert Vaux Park,995,589,798,11,161,3,57,49,37,582,100,995,307.0,-73.9936488,40.5853191,0.5919597989949749,0.8020100502512563,0.011055276381909548,0.16180904522613065,0.003015075376884422,0.05728643216080402,0.04924623115577889,0.06357388316151202,0.10050251256281408
