,community,Total population,female_total,white_total,Black or African American total,Asian total,Hispanic or Latino Origin total,poverty total,population below 35 years old total,unemployment total for people over 16 years old,people over 16 years old total,school enrollment total for population over 3 years old,population over 3 years old total,Family Income Last Year,longitude,latitude,female_ratio,white_ratio,Black or African American ratio,Asian ratio,Hispanic or Latino Origin ratio,poverty ratio,population below 35 years old ratio,unemploymen ratio,school enrollment ratio
0,Bayview Hunters Point,29736,14799,3768,7640,11468,7285,4511,3481,1423,15874,7046,28438,308.3,-122.39047980000001,37.729707430000005,0.49767958030669895,0.12671509281678772,0.25692762980898576,0.38566047888081784,0.24498923863330643,0.15170164110842077,0.11706349206349206,0.0896434421065894,0.2477670722273015
1,Bernal Heights,26149,12330,13220,903,4683,8033,1699,2682,490,15633,4737,25013,291.05263157894734,-122.41617809473684,37.74059496842106,0.4715285479368236,0.5055642663199358,0.034532869325786836,0.17908906650349918,0.3072010401927416,0.06497380396955907,0.10256606371180542,0.031343951896628926,0.18938152160876345
2,Castro/Upper Market,15031,5552,11367,353,1944,1130,988,797,386,11159,2007,14762,173.42857142857142,-122.43674973571429,37.762811035714286,0.3693699687312887,0.7562371099727231,0.023484798083959816,0.12933271239438493,0.07517796553788836,0.06573082296587053,0.05302375091477613,0.03459091316426203,0.13595718737298468
3,Chinatown,4510,2359,757,16,3566,110,1032,174,82,2410,542,4442,284.3333333333333,-122.40831416666667,37.7942813,0.523059866962306,0.16784922394678492,0.003547671840354767,0.7906873614190687,0.024390243902439025,0.22882483370288248,0.038580931263858094,0.03402489626556016,0.1220171094101756
4,Excelsior,35891,18001,7784,752,19114,10263,3537,3247,1154,19935,7694,35150,370.9,-122.43165522,37.719354155000005,0.5015463486667967,0.21687888328550334,0.020952327881641638,0.532556908417152,0.2859491237357555,0.09854838260288094,0.09046836254214148,0.057888136443441186,0.2188904694167852
5,Financial District/South Beach,3185,1594,1553,244,1065,153,673,175,106,1621,474,3061,202.5,-122.39984765,37.7958664,0.5004709576138148,0.48759811616954474,0.07660910518053375,0.33437990580847726,0.04803767660910518,0.21130298273155415,0.054945054945054944,0.06539173349784085,0.15485135576608952
6,Glen Park,8654,4434,5411,565,1272,1093,505,1055,191,5227,1905,8292,285.42857142857144,-122.43278187142857,37.73834464285714,0.5123642246360065,0.6252599953778599,0.06528772821816502,0.1469840536168246,0.12629997688929975,0.0583545181418997,0.12190894384099839,0.03654103692366558,0.229739507959479
7,Golden Gate Park,32,8,22,0,5,5,0,0,2,32,4,32,3.0,-122.4920873,37.7684025,0.25,0.6875,0.0,0.15625,0.15625,0.0,0.0,0.0625,0.125
8,Haight Ashbury,13437,6536,10186,504,1610,1163,700,999,310,9779,2008,12747,221.4,-122.44358639,37.76762673,0.4864180992781127,0.7580561137158592,0.03750837240455459,0.11981841184788271,0.08655205775098608,0.05209496167299248,0.07434695244474213,0.031700582881685244,0.15752726131638817
9,Hayes Valley,17355,7800,10550,1273,3224,2090,1418,811,384,13107,1696,16790,190.78571428571428,-122.42833813571428,37.774505142857144,0.449438202247191,0.6078939786804956,0.07335061941803515,0.18576779026217227,0.12042639008931144,0.08170556035724576,0.04673004897723999,0.02929732204165713,0.10101250744490768
10,Inner Richmond,15911,8569,8132,129,6105,1483,804,1525,261,10043,2953,15420,277.45454545454544,-122.46419340000001,37.78260723636364,0.5385582301552385,0.5110929545597386,0.008107598516749418,0.3836968135252341,0.0932059581421658,0.05053107912764754,0.09584564138017723,0.025988250522752165,0.19150453955901428
11,Inner Sunset,27824,14642,14063,666,9697,2828,2527,2283,553,17416,5613,26873,274.35,-122.466175705,37.75965248,0.5262363427257044,0.5054269695227142,0.023936170212765957,0.34851207590569294,0.10163887291546866,0.09082087406555492,0.082051466359977,0.0317524115755627,0.20887135786849254
12,Japantown,2725,1613,1011,36,1123,308,384,0,73,1660,153,2714,121.66666666666667,-122.43396073333334,37.7852379,0.5919266055045872,0.3710091743119266,0.013211009174311927,0.41211009174311924,0.11302752293577982,0.14091743119266056,0.0,0.04397590361445783,0.056374355195283714
13,Lakeshore,13862,7284,5190,1210,4230,3588,2635,3062,1241,8707,6879,13707,295.7142857142857,-122.48169317142857,37.71832967142857,0.5254653008223922,0.37440484778531236,0.08728899148751984,0.30515077189438755,0.25883710864233156,0.19008801038811138,0.22089164622709564,0.14252899965544963,0.5018603633180126
14,Lincoln Park,185,0,87,31,48,19,0,0,0,0,0,185,0.0,-122.5019092,37.785046,0.0,0.4702702702702703,0.16756756756756758,0.2594594594594595,0.10270270270270271,0.0,0.0,,0.0
15,Lone Mountain/USF,8796,4644,5575,394,1697,1051,1026,519,222,5512,1286,8604,216.0,-122.45138452857142,37.77588867142857,0.5279672578444747,0.6338108231014097,0.044793087767166895,0.19292860391086858,0.11948613005911778,0.11664392905866303,0.05900409276944066,0.04027576197387518,0.1494653649465365
16,Marina,14477,7763,11212,156,1743,819,593,848,333,10876,1536,13974,224.8181818181818,-122.43496809090908,37.802563118181816,0.5362298818816053,0.7744698487255647,0.010775713200248671,0.1203978724873938,0.056572494301305516,0.040961525177868344,0.0585756717551979,0.03061787421846267,0.10991841992271362
17,McLaren Park,153,123,0,0,153,0,116,0,0,0,0,153,30.0,-122.4193463,37.7162081,0.803921568627451,0.0,0.0,1.0,0.0,0.7581699346405228,0.0,,0.0
18,Mission,34191,15953,17131,1520,4588,13356,3674,2380,1001,22967,6015,33201,216.42307692307693,-122.41371660384615,37.75482540769231,0.46658477377087537,0.5010382849287824,0.04445614342955748,0.13418735924658537,0.3906291129244538,0.10745517826328566,0.0696089614225966,0.043584273087473334,0.1811692418903045
19,Nob Hill,13800,6994,7547,532,4461,1155,1089,619,450,9817,2087,13587,188.25,-122.41283678333333,37.79244658333334,0.5068115942028986,0.5468840579710145,0.03855072463768116,0.3232608695652174,0.08369565217391305,0.07891304347826086,0.04485507246376812,0.045838850972802284,0.1536027084713329
20,Noe Valley,21842,10017,15117,396,3340,2305,978,1556,481,14775,3443,21088,246.3684210526316,-122.43199485263158,37.74941388947368,0.4586118487318011,0.6921069499130116,0.018130207856423403,0.15291639959710648,0.1055306290632726,0.04477611940298507,0.0712388975368556,0.032554991539763115,0.16326820940819423
21,North Beach,3426,1461,1253,38,1887,245,508,120,252,2392,431,3426,222.33333333333334,-122.40649193333333,37.79952170000001,0.4264448336252189,0.3657326328079393,0.011091652072387624,0.5507880910683012,0.07151196730881494,0.14827787507297138,0.03502626970227671,0.10535117056856187,0.12580268534734385
22,Oceanview/Merced/Ingleside,20035,9781,3287,1706,12087,2483,1954,1723,572,12005,4515,19781,306.0,-122.461885275,37.71891875,0.4881956575992014,0.16406288994260046,0.08515098577489394,0.6032942350885949,0.12393311704517095,0.09752932368355378,0.08599950087347143,0.04764681382757185,0.22824933016531015
23,Outer Mission,7518,3518,1042,114,5005,1856,531,526,282,4722,1665,7364,353.5,-122.44317595,37.71944445,0.4679436020218143,0.13860069167331737,0.015163607342378291,0.6657355679702048,0.24687416866187817,0.07063048683160415,0.06996541633413142,0.05972045743329098,0.22609994568169473
24,Outer Richmond,38294,19842,17163,686,16305,2726,3458,3671,969,22683,7085,36780,327.6296296296296,-122.48653510000001,37.77870542962963,0.5181490572935707,0.44819031702094325,0.017914033530056928,0.4257847182326213,0.07118608659319998,0.09030135269232778,0.09586358176215595,0.042719217034783756,0.19263186514410005
25,Pacific Heights,12756,6544,9167,423,2094,1216,542,909,301,8801,1869,12378,207.8181818181818,-122.43261093636364,37.79162163636364,0.5130134838507369,0.7186422075885858,0.03316086547507056,0.16415804327375352,0.09532768893069928,0.04248980871746629,0.07126058325493885,0.03420065901602091,0.150993698497334
26,Portola,16243,8101,2970,573,8842,4259,1475,1559,414,9112,3361,15861,353.6,-122.40818475,37.72664383,0.49873791787231425,0.18284799605984117,0.03527673459336329,0.5443575694145171,0.262205257649449,0.09080834821153727,0.09597980668595703,0.04543459174714662,0.2119034108820377
27,Potrero Hill,7973,3477,4779,215,1791,670,383,496,110,6016,1183,7621,282.0,-122.39496541666666,37.76076256666666,0.43609682679041767,0.5993979681424809,0.0269660102847109,0.2246331368368243,0.08403361344537816,0.048037125297880345,0.0622099586103098,0.018284574468085107,0.15522897257577745
28,Presidio,2728,1538,1694,62,201,753,91,356,67,1754,603,2526,551.0,-122.4764214,37.7960535,0.5637829912023461,0.6209677419354839,0.022727272727272728,0.07368035190615836,0.2760263929618768,0.033357771260997066,0.13049853372434017,0.03819840364880274,0.23871733966745842
29,Presidio Heights,4487,2408,3401,56,620,279,374,513,67,2195,885,4295,226.4,-122.45218138,37.78862198,0.5366614664586583,0.7579674615556051,0.0124804992199688,0.13817695564965457,0.06217963004234455,0.08335190550479162,0.11433028749721418,0.03052391799544419,0.2060535506402794
30,Russian Hill,4282,2099,2849,0,1262,245,225,111,52,2841,307,4262,322.0,-122.41546090000001,37.801222833333334,0.4901914992993928,0.6653432975245213,0.0,0.29472209248014947,0.05721625408687529,0.05254553946753853,0.02592246613731901,0.018303414290742698,0.07203190990145472
